Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
IL&FS Transport,533177,Mumbai,31/12/2016,328960027,3613.63
Indbull.RealEst.,532832,Mumbai,31/12/2016,504164339,3925.94
India Cements,530005,Mumbai,31/12/2016,307178657,4988.58
Indiabulls Hous.,535789,Mumbai,31/12/2016,423749735,33648.05
Indiabulls Vent.,532960,Mumbai,31/12/2016,293416402,641.11
Indian Bank,532814,Mumbai,31/12/2016,480291651,13969.28
Indian Hotels,500850,Mumbai,31/12/2016,989274015,10812.76
Indraprastha Gas,532514,Mumbai,31/12/2016,140000160,13542.9
IndusInd Bank,532187,Mumbai,31/12/2016,597423858,77928.77
Info Edg.(India),532777,Mumbai,31/12/2016,121116159,10113.2
Infosys,500209,Mumbai,31/12/2016,2296944664,215016.99
Ingersoll-Rand,500210,Mumbai,31/12/2016,31568000,2201.71
Inox Leisure,532706,Mumbai,31/12/2016,96457754,2175.17
Inox Wind,539083,Mumbai,31/12/2016,221918226,4078.86
Ipca Labs.,524494,Mumbai,31/12/2016,126199109,6685.45
IRB Infra.Devl.,532947,Mumbai,31/12/2016,351450000,8223.93
ITC,500875,Mumbai,31/12/2016,12121361981,331103.56
ITD Cem,509496,Mumbai,31/12/2016,155157900,2470.89
IVRCL,530773,Mumbai,31/12/2016,782897692,399.28
J & K Bank,532209,Mumbai,31/12/2016,484778020,3391.02
J B Chem & Pharm,506943,Mumbai,31/12/2016,84819975,3010.69
J K Cements,532644,Mumbai,31/12/2016,69927250,5277.62
J Kumar Infra,532940,Mumbai,31/12/2016,75665506,1728.2
Jagran Prakashan,532705,Mumbai,31/12/2016,326911829,6111.62
Jai Corp,512237,Mumbai,31/12/2016,178449410,1274.13
Jain Irrigation,500219,Mumbai,31/12/2016,460166053,4544.7
Jaypee Infratec.,533207,Mumbai,31/12/2016,1388933497,1361.15
JBF Inds.,514034,Mumbai,31/12/2016,81871849,1851.53
Jindal Saw,500378,Mumbai,31/12/2016,319754117,1944.11
Jindal Steel,532286,Mumbai,31/12/2016,914903800,8353.07
JK Lakshmi Cem.,500380,Mumbai,31/12/2016,117670066,4635.61
